,CBS,ICR,ICTS,ICTS+ID,XSTAR
WH1/0.json,"1,14351","1,31734","58,51910","1,44857","1,33722"
WH1/1.json,"1.602,99000","600.000,00000","2.246,45000","4.455,65000","1.572,22000"
WH1/2.json,"5,50671","5,75722","456,71200","5,81857","5,75779"
WH1/3.json,"1.740,98000","14,68670","4.388,23000","8.608,18000","1.739,07000"
WH1/4.json,"1,88779","1,86058","32,81530","2,83100","1,82482"
WH1/5.json,"423,04000","1.217,56000","173,55900","192,46000","108,55300"
WH1/6.json,"193.853,00000","600.000,00000","4.218,38000","3.304,84000","273.402,00000"
WH1/7.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH1/8.json,"2.159,24000","109.184,00000","600.000,00000","21.910,80000","600.000,00000"
WH1/9.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH1/10.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH1/11.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2/0.json,"0,78126","0,72056","10,10880","0,83236","0,65329"
WH2/1.json,"1,53974","1,15093","37,12430","1,37166","1,08327"
WH2/2.json,"3.651,06000","600.000,00000","1.764,33000","3.238,19000","3.822,76000"
WH2/3.json,"82.912,60000","18,18530","17.032,20000","31.642,00000","106.239,00000"
WH2/4.json,"1,61191","1,63059","30,19880","1,97350","1,44449"
WH2/5.json,"118,61200","600.000,00000","205,83200","337,88900","241,83200"
WH2/6.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2/7.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2/8.json,"463.728,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2/9.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2/10.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2/11.json,"600.000,00000","600.000,00000","600.000,00000","600.000,00000","600.000,00000"
WH2_1/0.json,"171,80600","22,44180","91,73150","186,21400","162,85200"
WH2_1/1.json,"0,97085","0,89857","35,60310","1,65729","1,22089"
