# Number of solution / Tempi (ms),CBS,ICR,ICTS,ICTS+ID,XSTAR,VIRTUAL BEST
1,"0,216321","0,280855","3,01652","0,393931","0,198951","0,198951"
2,"0,457864","0,581412","6,18767","0,814191","0,433646","0,433646"
3,"0,794432","0,887352","11,89232","1,307195","0,669127","0,669127"
4,"1,202872","1,195605","18,40613","1,851493","0,911368","0,911368"
5,"1,624580","1,701144","25,77392","2,609411","1,298153","1,298153"
6,"2,055238","2,409187","33,85791","3,441775","1,73918","1,739180"
7,"2,774719","3,129747","43,48371","4,279235","2,277746","2,277746"
8,"3,555981","3,913366","53,59251","5,119943","2,931033","2,931033"
9,"4,526835","4,811938","72,35601","6,399533","4,014303","4,014303"
10,"5,579925","5,962868","99,87911","7,771193","5,235193","5,235193"
11,"6,723435","7,280208","130,07791","9,219763","6,516923","6,516923"
12,"8,263175","8,910798","162,89321","10,877053","7,854143","7,854143"
13,"9,875085","10,734248","198,49631","12,649663","9,298633","9,298633"
14,"11,616485","12,594828","235,62061","14,623163","10,838183","10,838183"
15,"13,447355","14,465358","277,15961","16,862313","12,662063","12,662063"
16,"15,335145","16,935068","334,08361","19,693313","14,486883","14,486883"
17,"18,497475","20,156558","392,60271","23,341203","17,882323","17,882323"
18,"24,004185","25,913778","451,32791","29,159773","23,640113","23,640113"
19,"32,854435","32,327148","513,19111","38,167423","32,822023","32,327148"
20,"50,582235","41,502128","577,13501","62,118423","49,026123","41,502128"
21,"70,319635","51,988128","668,86651","94,905223","70,316623","51,988128"
22,"91,761035","63,533828","764,08101","144,735623","93,428923","63,533828"
23,"140,934435","78,220528","871,74901","216,027123","156,769723","78,220528"
24,"209,540835","96,405828","996,98401","354,235123","230,181323","96,405828"
25,"288,413535","115,781228","1130,37501","511,002123","308,011823","115,781228"
26,"371,842435","137,335428","1276,44301","697,216123","387,433523","137,335428"
27,"459,950535","159,777228","1435,61101","889,676123","470,020923","159,777228"
28,"561,599535","187,047228","1609,17001","1110,010123","569,986623","187,047228"
29,"680,211535","259,911028","1815,00201","1366,974123","678,539623","259,911028"
30,"852,017535","343,876028","2085,53101","1627,404123","841,391623","343,876028"
31,"1059,676535","579,958028","2388,04201","1907,558123","1049,623623","579,958028"
32,"1333,743535","897,791028","2756,86801","2245,447123","1288,259623","897,791028"
33,"1670,088535","1216,389028","3213,58001","2699,258123","1530,091623","1216,389028"
34,"2009,661535","1694,299028","4061,66001","3306,302123","1839,276623","1694,299028"
35,"2351,354535","2911,859028","5041,97701","4613,582123","2263,201623","2263,201623"
36,"2693,555535","4318,759028","6414,22701","6148,922123","2799,546623","2693,555535"
37,"3116,595535","7309,689028","8178,55701","8123,632123","3339,678623","3116,595535"
38,"3791,081535","12758,17903","10098,79701","11361,82212","4118,215623","3791,081535"
39,"4598,608535","19832,70903","12345,24701","14666,66212","4939,054623","4598,608535"
40,"6047,838535","48000,60903","14669,99701","19122,31212","6511,274623","6047,838535"
41,"7650,828535","123387,209","18888,37701","23819,24212","8250,344623","7650,828535"
42,"9391,808535","232571,209","23276,60701","29436,04212","10807,60462","9391,808535"
43,"11551,048535",,"29238,06701","38044,22212","13832,87462","11551,048535"
44,"14525,598535",,"35928,44701","50115,92212","17655,63462","14525,598535"
45,"18176,658535",,"43320,46701","63891,32212","23109,49462","18176,658535"
46,"21974,808535",,"52604,44701","78864,22212","32341,04462","21974,808535"
47,"27428,668535",,"62967,84701","98715,32212","41575,28462","27428,668535"
48,"34299,988535",,"77965,34701","120626,1221","50834,14462","34299,988535"
49,"41513,988535",,"94997,54701","145810,1221","61570,84462","41513,988535"
50,"50812,628535",,"442956,547","177452,1221","85562,54462","50812,628535"
51,"77109,828535",,"852501,547","289971,1221","114954,4446","77109,828535"
52,"104630,728535",,"1349237,547",,"190770,0446","104630,728535"
53,"178362,628535",,"1928931,547",,"297009,0446","178362,628535"
54,"261275,228535",,,,"517521,0446","261275,228535"
55,"455128,228535",,,,"790923,0446","455128,228535"
56,"655621,228535",,,,,"655621,228535"
57,"1119349,228535",,,,,"1119349,228535"
