,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEST FILE,,CBS,,,,,ICR,,,,,ICTS,,,,,ICTS+ID,,,,,X*,,,,,,
,,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,,
,WH1/0.json,,1.14351,32,52,8.2MB,,1.31734,32,52,8.4MB,,58.5191,32,52,10.1MB,,1.44857,32,52,8.4MB,,1.33722,32,52,8.4MB,,Timeout 10m,
,WH1/1.json,,1602.99,43,83,10.2MB,,Error,Error,Error,Error,,2246.45,43,83,14.9MB,,4455.65,43,83,16.5MB,,1572.22,43,83,10.2MB,,Segmentation Fault,
,WH1/2.json,,5.50671,140,256,8.5MB,,5.75722,140,256,8.8MB,,456.712,140,256,10.1MB,,5.81857,140,256,8.2MB,,5.75779,140,256,8.6MB,,Error,Couldn't find a path with A*
,WH1/3.json,,1740.98,242,475,10.1MB,,14.6867,238,472,8.9MB,,4388.23,238,471,28.2MB,,8608.18,238,471,29.8MB,,1739.07,242,475,10.4MB,,Solution is not valid,
,WH1/4.json,,1.88779,27,87,8.8MB,,1.86058,27,87,8.6MB,,32.8153,27,87,9.9MB,,2.831,27,87,8.6MB,,1.82482,27,87,8.6MB,,,
,WH1/5.json,,423.04,53,163,10.2MB,,1217.56,56,177,10.2MB,,173.559,53,163,10.1MB,,192.46,53,163,10.4MB,,108.553,53,163,10.2MB,,,
,WH1/6.json,,193853,151,469,16.4MB,,Error,Error,Error,Error,,4218.38,138,456,19.4MB,,3304.84,138,456,15.8MB,,273402,151,469,18.4MB,.,,
,WH1/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,25.2MB,,Error,Error,Erorr,Error,,Timeout 10m,Timeout 10m,Timeout 10m,300MB,,Timeout 10m,Timeout 10m,Timeout 10m,301.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,27.3MB,,,
,WH1/8.json,,2159.24,34,191,10.2MB,,109184,37,209,18.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,75.1MB,,21910.8,34,191,39.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,46.6MB,,,
,WH1/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,43.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,42.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,57.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,88.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,220.1MB,,,
,WH1/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,30.7MB,,Error,Error,Erorr,Error,,Timeout 10m,Timeout 10m,Timeout 10m,87.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,91.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,43.8MB,,,
,WH1/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,32.1MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,136.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,111.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,131.6MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2/0.json,,0.781262,21,41,0.0MB,,0.72056,21,41,0.0MB,,10.1088,21,41,0.0MB,,0.832364,21,41,0.0MB,,0.653287,21,41,0.0MB,,,
,WH2/1.json,,1.53974,48,77,9.0MB,,1.15093,48,77,0.0MB,,37.1243,48,77,9.4MB,,1.37166,48,77,0.0MB,,1.08327,48,77,0.0MB,,,
,WH2/2.json,,3651.06,134,255,9.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,602.2MB,,1764.33,134,255,13.9MB,,3238.19,134,255,15.4MB,,3822.76,134,255,9.6MB,,,
,WH2/3.json,,82912.6,233,428,12.8MB,,18.1853,208,404,0.0MB,,17032.2,232,427,54.6MB,,31642,232,427,60.9MB,,106239,233,428,13.1MB,,,
,WH2/4.json,,1.61191,31,89,0.0MB,,1.63059,31,89,0.0MB,,30.1988,31,89,9.5MB,,1.9735,31,89,0.0MB,,1.44449,31,89,0.0MB,,,
,WH2/5.json,,118.612,55,178,9.2MB,,Error,Error,Error,Error,,205.832,55,178,9.1MB,,337.889,55,178,9.7MB,,241.832,55,178,10.2MB,,,
,WH2/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,57.5MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,184.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,172.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,154.1MB,,,
,WH2/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,36.1MB,,Error,Error,Error,Error,,Timeout 10m,Timeout 10m,Timeout 10m,297.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,298.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,34.6MB,,,
